,,,75
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
,,,461
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Counters,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Job,
,,,1488
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Reducer.Context,
,,,86
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.io.WritableComparable,
,,,95
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.TaskInputOutputContext,
muyannian  ,muyannian,import org.apache.hadoop.util.Progressable,
,,,130
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.filecache.DistributedCache,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataInputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.TaskAttemptContext,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.TaskID,
muyannian  ,muyannian,import org.apache.hadoop.util.GenericOptionsParser,
,,,248
muyannian  ,muyannian,import org.apache.hadoop.io.Writable,
,,,50
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.fs.Trash,
,,,165
muyannian  ,muyannian,import org.apache.hadoop.io.Writable,
,,,97
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Partitioner,
,,,20
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.io.IntWritable,
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Reducer,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.TaskID,
,,,309
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.io.WritableComparable,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.InputSplit,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Mapper,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.TaskID,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.lib.input.FileSplit,
,,,353
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.io.IntWritable,
muyannian  ,muyannian,import org.apache.hadoop.io.LongWritable,
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Job,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,321
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataInputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,75
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.io.IntWritable,
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Reducer,
,,,113
muyannian  ,muyannian,import org.apache.hadoop.io.IntWritable,
muyannian  ,muyannian,import org.apache.hadoop.io.Text,
muyannian  ,muyannian,import org.apache.hadoop.mapreduce.Partitioner,
,,,19
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.conf.Configured,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.util.Tool,
,,,336
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,343
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
,,,26
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,146
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,100
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,1837
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataInputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,116
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
,,,129
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataInputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
muyannian  ,muyannian,import org.apache.hadoop.util.ToolRunner,
,,,379
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,518
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
,,,156
muyannian  ,muyannian,import org.apache.hadoop.conf.Configuration,
muyannian  ,muyannian,import org.apache.hadoop.fs.FSDataOutputStream,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileStatus,
muyannian  ,muyannian,import org.apache.hadoop.fs.FileSystem,
muyannian  ,muyannian,import org.apache.hadoop.fs.Path,
,,,747
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
,,,53
Ryan        ,Ryan,import org.apache.hadoop.conf.Configuration,
,,,38
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.ArrayWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.BooleanWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.ByteWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.BytesWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.DoubleWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.FloatWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.IntWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.LongWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.MapWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.NullWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.SortedMapWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.Text,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.Writable,
,,,75
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.Path,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapred.JobConf,
,,,79
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.NullWritable,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.FileSplit,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.RecordReader,
,,,40
Justin Lee  ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee  ,Justin Lee,import org.apache.hadoop.io.Text,
Justin Lee  ,Justin Lee,import org.apache.hadoop.util.ToolRunner,
,,,37
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.Text,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.OutputCollector,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.Reporter,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapreduce.Mapper,
,,,59
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.NullWritable,
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.Text,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.OutputCollector,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.Reporter,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapreduce.Reducer,
,,,67
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,48
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,140
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.FSDataInputStream,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.FileStatus,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.Path,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.lib.input.FileSplit,
,,,282
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
,,,71
Mariano Semelman  ,Mariano Semelman,import org.apache.hadoop.conf.Configuration,
Mariano Semelman  ,Mariano Semelman,import org.apache.hadoop.mapreduce.InputSplit,
,,,155
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.fs.Path,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapred.JobConf,
,,,55
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,59
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,89
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.JobContext,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.RecordReader,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,267
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.NullWritable,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.FileSplit,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.RecordReader,
,,,39
Justin Lee   ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapreduce.InputFormat,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.OutputCommitter,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapreduce.OutputFormat,
Justin Lee   ,Justin Lee,import org.apache.hadoop.util.ToolRunner,
,,,297
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee          ,Justin Lee,import org.apache.hadoop.fs.FileStatus,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Justin Lee          ,Justin Lee,import org.apache.hadoop.fs.Path,
Justin Lee          ,Justin Lee,import org.apache.hadoop.fs.PathFilter,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionCodec,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionCodecFactory,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapreduce.InputSplit,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.JobContext,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapreduce.RecordReader,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapreduce.TaskAttemptContext,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.mapreduce.lib.input.FileSplit,
Justin Lee          ,Justin Lee,import org.apache.hadoop.util.ReflectionUtils,
,,,141
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.JobContext,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.OutputCommitter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.OutputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.RecordWriter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,60
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.io.RawComparator,
,,,230
Justin Lee   ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee   ,Justin Lee,import org.apache.hadoop.fs.PathFilter,
Justin Lee   ,Justin Lee,import org.apache.hadoop.io.RawComparator,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.InputFormat,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.Mapper,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.OutputFormat,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.Partitioner,
Justin Lee   ,Justin Lee,import org.apache.hadoop.mapred.Reducer,
,,,904
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configured,
Justin Lee          ,Justin Lee,import org.apache.hadoop.fs.FileSystem,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.JobClient,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.RunningJob,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Job,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Mapper,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Reducer,
Justin Lee          ,Justin Lee,import org.apache.hadoop.util.Tool,
,,,237
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FSDataInputStream,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.Path,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.fs.PathFilter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.RawComparator,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.InputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Mapper,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.OutputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Partitioner,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Reducer,
,,,1149
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.TaskAttemptID,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.util.Progressable,
,,,120
Justin Lee    ,Justin Lee,import org.apache.hadoop.io.WritableComparable,
Justin Lee    ,Justin Lee,import org.apache.hadoop.io.WritableComparator,
,,,59
Justin Lee    ,Justin Lee,import org.apache.hadoop.io.Writable,
,,,195
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.AbstractMapWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.ArrayWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.BooleanWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.ByteWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.BytesWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.DataInputBuffer,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.DataOutputBuffer,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.DoubleWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.FloatWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.IntWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.LongWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.NullWritable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.Text,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.Writable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.WritableComparable,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.WritableComparator,
,,,268
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.InputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.InputSplit,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.JobContext,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.RecordReader,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,69
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FSDataOutputStream,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.RecordWriter,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,139
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FSDataOutputStream,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.Path,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.RecordWriter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,131
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FSDataInputStream,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.Path,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.JobContext,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.OutputCommitter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,267
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.fs.PathFilter,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.RawComparator,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.InputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Mapper,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.OutputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Partitioner,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapreduce.Reducer,
,,,495
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.BinaryComparable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.BytesWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.NullWritable,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.io.Text,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputFormat,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.JobContext,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.RecordReader,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,344
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FSDataOutputStream,
Justin Lee    ,Justin Lee,import org.apache.hadoop.fs.FileSystem,
Justin Lee    ,Justin Lee,import org.apache.hadoop.fs.Path,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.RecordWriter,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
,,,57
Justin Lee      ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee      ,Justin Lee,import org.apache.hadoop.mapreduce.InputSplit,
,,,297
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,107
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.InputSplit,
,,,68
Justin Lee    ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapreduce.InputSplit,
,,,63
Mike O'Brien      ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Mike O'Brien      ,Mike O'Brien,import org.apache.hadoop.mapreduce.InputSplit,
,,,210
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapreduce.InputSplit,
,,,150
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapreduce.InputSplit,
,,,72
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.util.ReflectionUtils,
,,,131
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.conf.Configuration,
Luke Lovett  ,Luke Lovett,import org.apache.hadoop.mapreduce.InputSplit,
,,,117
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.conf.Configurable,
Justin Lee    ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Justin Lee    ,Justin Lee,import org.apache.hadoop.conf.Configured,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.BlockLocation,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FSDataInputStream,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FSDataOutputStream,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FileStatus,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FileSystem,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.Path,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.io.compress.CodecPool,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionCodec,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionOutputStream,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.io.compress.Compressor,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.io.compress.DefaultCodec,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapreduce.lib.input.FileSplit,
Luke Lovett   ,Luke Lovett,import org.apache.hadoop.util.ReflectionUtils,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.util.Tool,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.util.ToolRunner,
,,,591
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.conf.Configuration,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.InputSplit,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.util.ReflectionUtils,
,,,143
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.fs.FileStatus,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.fs.FileSystem,
Justin Lee          ,Justin Lee,import org.apache.hadoop.fs.Path,
Justin Lee          ,Justin Lee,import org.apache.hadoop.io.NullWritable,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionCodec,
Luke Lovett         ,Luke Lovett,import org.apache.hadoop.io.compress.CompressionCodecFactory,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.mapred.FileInputFormat,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.FileSplit,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.mapred.InputSplit,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Mike O'Brien        ,Mike O'Brien,import org.apache.hadoop.mapred.RecordReader,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.Reporter,
,,,133
Justin Lee    ,Justin Lee,import org.apache.hadoop.fs.FileSystem,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapred.OutputFormat,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapred.RecordWriter,
Justin Lee    ,Justin Lee,import org.apache.hadoop.util.Progressable,
,,,48
Justin Lee          ,Justin Lee,import org.apache.hadoop.conf.Configuration,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapred.InputFormat,
Brendan W. McAdams  ,Brendan W. McAdams,import org.apache.hadoop.mapred.InputSplit,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.RecordReader,
Justin Lee          ,Justin Lee,import org.apache.hadoop.mapred.Reporter,
,,,68
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.fs.FSDataOutputStream,
Mike O'Brien  ,Mike O'Brien,import org.apache.hadoop.mapred.RecordWriter,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapred.Reporter,
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapreduce.TaskAttemptContext,
,,,38
Justin Lee    ,Justin Lee,import org.apache.hadoop.mapred.JobConf,
