Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.LongWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.SequenceFile,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.SequenceFile.Writer,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,139
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
,,,94
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.filecache.DistributedCache,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.FileSystem,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.SequenceFile,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,116
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,84
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.FileSystem,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,139
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,101
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,75
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.LongWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Text,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
,,,78
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Reducer,
,,,59
Robin Anil     ,Robin Anil,import org.apache.hadoop.conf.Configuration,
Robin Anil     ,Robin Anil,import org.apache.hadoop.fs.FileStatus,
Robin Anil     ,Robin Anil,import org.apache.hadoop.fs.FileSystem,
Robin Anil     ,Robin Anil,import org.apache.hadoop.fs.Path,
Robin Anil     ,Robin Anil,import org.apache.hadoop.io.SequenceFile,
Robin Anil     ,Robin Anil,import org.apache.hadoop.io.Text,
Robin Anil     ,Robin Anil,import org.apache.hadoop.io.Writable,
,,,120
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Robin Anil          ,Robin Anil,import org.apache.hadoop.fs.FileSystem,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Robin Anil          ,Robin Anil,import org.apache.hadoop.io.IntWritable,
Robin Anil          ,Robin Anil,import org.apache.hadoop.io.SequenceFile,
Robin Anil          ,Robin Anil,import org.apache.hadoop.io.Text,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.util.ToolRunner,
,,,243
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,79
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.NullWritable,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.Reducer,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,108
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configuration,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.filecache.DistributedCache,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.FileStatus,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.FileSystem,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.Path,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.DoubleWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.SequenceFile,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.Text,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.Job,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.Reducer,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.util.ToolRunner,
,,,536
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.conf.Configuration,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.fs.Path,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.DoubleWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.mapreduce.Mapper,
,,,108
Suneel Marthi           ,Suneel Marthi,import org.apache.hadoop.fs.Path,
,,,301
Jacob Alexander Mannix  ,Jacob Alexander Mannix,import org.apache.hadoop.io.IntWritable,
