,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
,,,,,,,,,,,,,,,,,,,,David Phillips 
Tom Zeng ,Tom Zeng,import org.apache.hadoop.fs.Path,33,,,,,,,,,,,,,,,,,David Phillips  
,,,,,,,,,,,,,,,,,,,,David Phillips   
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,David Phillips   
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,Dongmin Yu
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.mapred.JobConf,452,,,,,,,,,,,,,,,,,Eric Hwang
,,,,,,,,,,,,,,,,,,,,Eric Hwang
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.common.type.HiveVarchar,,,,,,,,,,,,,,,,,,Eric Hwang
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.DefaultHivePartitioner,,,,,,,,,,,,,,,,,,Eric Hwang 
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.HiveKey,,,,,,,,,,,,,,,,,,Eric Hwang  
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.ql.metadata.HiveException,,,,,,,,,,,,,,,,,,Eric Hwang   
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.ql.udf.generic.GenericUDF,,,,,,,,,,,,,,,,,,Haozhun Jin
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.ql.udf.generic.GenericUDFHash,,,,,,,,,,,,,,,,,,Haozhun Jin
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.io.DateWritable,,,,,,,,,,,,,,,,,,Haozhun Jin
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,Haozhun Jin
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.objectinspector.primitive.IntObjectInspector,,,,,,,,,,,,,,,,,,Haozhun Jin
HaozhunHiveVarcharObjectInspector,HaozhunHiveVarcharObjectInspector,,,,,,,,,,,,,,,,,,,Haozhun Jin
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,,,,,,,,,,,,,,,,,,Haozhun Jin
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfoUtils,340,,,,,,,,,,,,,,,,,Haozhun Jin 
,,,,,,,,,,,,,,,,,,,,Haozhun Jin  
Stanislaw Ogorkis ,Stanislaw Ogorkis,import org.apache.hadoop.hive.ql.io.parquet.timestamp.NanoTimeUtils,57,,,,,,,,,,,,,,,,,Haozhun Jin  
,,,,,,,,,,,,,,,,,,,,Jonathan Kelly
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,,Karol Sobczak
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,Karol Sobczak
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,Karol Sobczak 
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.ql.exec.FileSinkOperator.RecordWriter,,,,,,,,,,,,,,,,,,Karol Sobczak 
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.ql.io.parquet.MapredParquetOutputFormat,,,,,,,,,,,,,,,,,,Karol Sobczak 
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.ql.io.parquet.serde.ParquetHiveSerDe,,,,,,,,,,,,,,,,,,Marc Beitchman
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,Marc Beitchman
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector,,,,,,,,,,,,,,,,,,Marc Beitchman
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.serde2.objectinspector.SettableStructObjectInspector,,,,,,,,,,,,,,,,,,Martin Traverso
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,Martin Traverso
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,,Martin Traverso
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,,Martin Traverso
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.mapred.JobConf,316,,,,,,,,,,,,,,,,,Nate Sammons   
,,,,,,,,,,,,,,,,,,,,Nezih Yigitbasi
Yang Yang           ,Yang Yang,import org.apache.hadoop.fs.Path,1270,,,,,,,,,,,,,,,,,Nileema Shingte
,,,,,,,,,,,,,,,,,,,,Nileema Shingte
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,Nileema Shingte
Colin Marc         ,Colin Marc,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,Nileema Shingte
Andrii Rosa        ,Andrii Rosa,import org.apache.hadoop.hive.common.type.HiveVarchar,,,,,,,,,,,,,,,,,,Piotr Nowojski
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.io.HiveOutputFormat,,,,,,,,,,,,,,,,,,Piotr Nowojski 
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.io.parquet.MapredParquetInputFormat,,,,,,,,,,,,,,,,,,Piotr Nowojski 
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.io.parquet.serde.ParquetHiveSerDe,,,,,,,,,,,,,,,,,,Piotr Nowojski  
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.SerDe,,,,,,,,,,,,,,,,,,Raghav Sethi 
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.ListObjectInspector,,,,,,,,,,,,,,,,,,Raghav Sethi  
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.MapObjectInspector,,,,,,,,,,,,,,,,,,Rebecca Schlussel
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,Rishi
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector.Category,,,,,,,,,,,,,,,,,,Rishi 
