,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.hive.serde2.objectinspector.StructObjectInspector,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.mapred.RecordReader,736,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grzegorz Kokosiński ,Grzegorz Kokosiński,import org.apache.hadoop.fs.Path,135,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.columnar.BytesRefArrayWritable,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.serde2.columnar.ColumnarSerDe,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.RecordReader,83,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Yang Yang ,Yang Yang,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.HiveObjectRef,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Amruta Gokhale ,Amruta Gokhale,import org.apache.hadoop.hive.metastore.api.PrivilegeBag,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Role,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Table,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore,191,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.metastore.ProtectMode,327,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.RemoteIterator,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.InputFormat,167,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Karol Sobczak ,Karol Sobczak,import org.apache.hadoop.hive.serde2.io.HiveDecimalWritable,57,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.io.DateWritable,,,,,,,,,,,,,,,,,,
Karol Sobczak      ,Karol Sobczak,import org.apache.hadoop.hive.serde2.io.HiveDecimalWritable,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.io.TimestampWritable,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.lazy.LazyDate,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.ListObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.MapObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.StructObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.BinaryObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.BooleanObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.ByteObjectInspector,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.primitive.DateObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.DoubleObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.FloatObjectInspector,,,,,,,,,,,,,,,,,,
Karol Sobczak      ,Karol Sobczak,import org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveDecimalObjectInspector,,,,,,,,,,,,,,,,,,
Piotr Nowojski     ,Piotr Nowojski,import org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveVarcharObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.IntObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.LongObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.ShortObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.StringObjectInspector,,,,,,,,,,,,,,,,,,
Rishi              ,Rishi,import org.apache.hadoop.hive.serde2.objectinspector.primitive.TimestampObjectInspector,289,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nezih Yigitbasi ,Nezih Yigitbasi,import org.apache.hadoop.hive.metastore.api.Table,155,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips ,David Phillips,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
David Phillips ,David Phillips,import org.apache.hadoop.fs.LocatedFileStatus,,,,,,,,,,,,,,,,,,
David Phillips ,David Phillips,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
David Phillips ,David Phillips,import org.apache.hadoop.fs.RemoteIterator,34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Martin Traverso    ,Martin Traverso,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.fs.Path,83,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.hive.thrift.client.TUGIAssumingTransport,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.SaslRpcServer,85,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,64,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.authentication.util.KerberosName,54,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Andrii Rosa ,Andrii Rosa,import org.apache.hadoop.security.UserGroupInformation,72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin  ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom      ,Dain Sundstrom,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,,
Dain Sundstrom      ,Dain Sundstrom,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
David Phillips      ,David Phillips,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Haozhun Jin         ,Haozhun Jin,import org.apache.hadoop.hive.conf.HiveConf,,,,,,,,,,,,,,,,,,
David Phillips      ,David Phillips,import org.apache.hadoop.hive.metastore.TableType,,,,,,,,,,,,,,,,,,
Dain Sundstrom      ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Dain Sundstrom      ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Dain Sundstrom      ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin         ,Haozhun Jin,import org.apache.hadoop.hive.ql.exec.FileSinkOperator,,,,,,,,,,,,,,,,,,
Haozhun Jin         ,Haozhun Jin,import org.apache.hadoop.mapred.JobConf,1680,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.StorageDescriptor,97,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.ql.io.orc.CompressionKind,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.compress.GzipCodec,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.compress.SnappyCodec,57,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.common.FileUtils,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.metastore.ProtectMode,276,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.RecordReader,77,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.ql.io.DefaultHivePartitioner,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.ql.io.HiveKey,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.ql.metadata.HiveException,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.ql.udf.generic.GenericUDFHash,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
Nileema Shingte ,Nileema Shingte,import org.apache.hadoop.hive.serde2.objectinspector.primitive.IntObjectInspector,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.ListTypeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.MapTypeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.PrimitiveTypeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,358,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.ql.io.orc.OrcFile.OrcTableProperties,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.net.DNSToSwitchMapping,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.net.SocksSocketFactory,208,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.fs.Path,59,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Andrii Rosa        ,Andrii Rosa,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.mapreduce.TaskAttemptContext,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.mapreduce.TaskAttemptID,1458,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.Path,108,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Yang Yang      ,Yang Yang,import org.apache.hadoop.fs.Path,386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.conf.Configuration,190,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Zhenxiao Luo ,Zhenxiao Luo,import org.apache.hadoop.fs.Path,295,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Andrii Rosa    ,Andrii Rosa,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Zhenxiao Luo   ,Zhenxiao Luo,import org.apache.hadoop.fs.Path,251,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom    ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom    ,Dain Sundstrom,import org.apache.hadoop.fs.Path,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.conf.Configuration,72,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.FieldSchema,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,238,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.hive.metastore.api.MetaException,97,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Amruta Gokhale ,Amruta Gokhale,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,,,,,,,,,,,,,,,,,,
Dain Sundstrom ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Table,109,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,83,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.common.FileUtils,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.ProtectMode,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.FieldSchema,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.SerDeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.StorageDescriptor,351,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
David Phillips     ,David Phillips,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,815,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Amruta Gokhale ,Amruta Gokhale,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,118,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.TableType,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.AlreadyExistsException,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.HiveObjectPrivilege,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.HiveObjectRef,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.HiveObjectType,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.InvalidObjectException,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.InvalidOperationException,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.MetaException,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.NoSuchObjectException,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrivilegeBag,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Role,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Table,,,,,,,,,,,,,,,,,,
Haozhun Jin    ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.UnknownDBException,689,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.HiveObjectRef,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Amruta Gokhale ,Amruta Gokhale,import org.apache.hadoop.hive.metastore.api.PrivilegeBag,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Role,,,,,,,,,,,,,,,,,,
Marc Beitchman ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Table,91,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.common.FileUtils,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.conf.HiveConf,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.exec.FileSinkOperator.RecordWriter,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.io.HiveIgnoreKeyTextOutputFormat,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.SerDeException,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.Serializer,,,,,,,,,,,,,,,,,,
Martin Traverso    ,Martin Traverso,import org.apache.hadoop.hive.serde2.columnar.OptimizedLazyBinaryColumnarSerde,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.SettableStructObjectInspector,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.io.compress.DefaultCodec,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.mapred.JobConf,837,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Yang Yang ,Yang Yang,import org.apache.hadoop.hive.common.type.HiveVarchar,,,,,,,,,,,,,,,,,,
Yang Yang ,Yang Yang,import org.apache.hadoop.hive.serde2.typeinfo.DecimalTypeInfo,,,,,,,,,,,,,,,,,,
Yang Yang ,Yang Yang,import org.apache.hadoop.hive.serde2.typeinfo.TypeInfo,134,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Yang Yang          ,Yang Yang,import org.apache.hadoop.fs.Path,376,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.FSDataInputStream,64,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.ql.io.orc.OrcSerde,261,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
