,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,193,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.MapFileOutputFormat,,,,,,,,,,,,,,,,,
,,,115,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
,,,300,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,58,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,70,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,40,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,66,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,81,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,102,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,137,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,349,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,159,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,34,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.IntWritable,,,,,,,,,,,,,,,,,
,,,32,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FSDataOutputStream,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,169,,,,,,,,,,,,,,,,
